brand,url
thrasher_media_1981usaSanfrancisco,https://www.thrashermagazine.com/
hypebeast_media_2005hongkong,https://hypebeast.com/
slap_media_1992usaSanfrancisco,https://www.slapmagazine.com/index.php
transworld_media_1983usaCarlsbad,https://skateboarding.transworld.net/
jenkem_media_2011usaNyc,http://www.jenkemmag.com/
quartersnack_media_2005usaNyc,https://quartersnacks.com/
vhsmag_media_2002japan,https://quartersnacks.com/
slam_media_1989australia,https://slamskateboarding.com/
ollie_media_1995japan,https://ollie-magazine.com/
mess_media_1999japan,https://www.messskatemag.com/
vague_media_2017france,https://www.vaguemag.com/
free_media_2015uk,https://www.freeskatemag.com/
place_media_?germanBerlin,https://place.tv/
pocket_media_2017german,https://pocketskatemag.com/
solo_media_2015german,https://soloskatemag.com/
sneeze_media_2008canada,https://www.sneezemag.com/
flatspot_media_?canada,https://www.flatspot.nl/
nike_shoes_1964usaEugene,https://www.nikesb.com/
adidas_shoes_1949german,https://www.adidas.com/
vans_shoes_1966usaAnaheim,https://www.vans.com/
converse_shoes_1908usaMassachusetts,https://www.converse.com/us
lastResortAB_shoes_2018usa,https://www.lastresortab.com/
newBalance_shoes_1906usa,https://www.newbalance.com/
asics_shoes_?japan,https://www.instagram.com/asics_skateboarding/
cariuma_shoes_?brazil,https://cariuma.com/pages/skate
dc_shoes_?usa,https://www.dcshoes.com/
independent_truck_?usa,https://independenttrucks.com/
thunder_truck_?usa,https://www.thundertrucks.com/
tensor_truck_?usa,https://tensortrucks.com/
krux_truck_?usa,https://kruxtrucks.com/
ace_truck_?usa,https://www.acetrucks.com/
royal_truck_?usa,https://royalskateboardtrucks.com/
venture_truck_?usa,https://venturetrucks.net/
slappy_truck_?usa,https://www.slappytrucks.com/
lurpiv_truck_?usa,https://lurpivtruckcompany.com/
bones_wheel_?usa,https://bones.com/
spitfire_wheel_?usa,https://www.spitfirewheels.com/
powell peralta_wheel_?usa,https://powell-peralta.com/
shark_wheel_?usa,https://sharkwheel.com/
sml_wheel_?usa,https://www.smlwheels.com/
oj_wheel_?usa,https://ojwheels.com/
ricta_wheel_?usa,https://rictawheels.com/
shakeJunt_grip_?usa,https://www.instagram.com/shakejunt/?hl=en
mob_grip_?usa,https://mobgrip.com/
bonesSwiss_bearing_?usa,https://bonesbearings.com/
modus_bearing_?usa,https://modusbearings.com/
andale_bearing_?usa,https://andalebearings.com/
primitive,https://primitiveskate.com/
GX1000,https://gx1000.com/
hardies,https://www.hardieshardware.com/
dime,https://dimemtl.com/
bronze56k,https://www.bronze56k.com/
scifi fantasy,https://scififantasy.co/
disorder,https://disorderskateboards.com/
carhartt WIP,https://www.carhartt-wip.com/en
stussy,https://www.stussy.com/
alien workshop,https://alienworkshop.com/
almost,https://almostskateboards.com/
antihero,https://www.antiheroskateboards.com/
plan b,https://planbskateboards.com/
pizza,https://pizzaskateboards.com/
dickies,https://www.dickies.com/
santa cruz,https://santacruzskateboards.com/
real,https://www.realskateboards.com/
wknd,https://shop.wkndbrand.com/
hardbody,http://hardbody.nyc/
element,https://www.elementbrand.com/
flip,https://flipskateboards.com/
fucking awesome,https://fuckingawesomestore.com/
krooked,https://krookedskateboarding.com/
dgk,https://dgkallday.com/
baker,https://bakerskateboards.com/
toy machine,http://toymachine.com/
blind,https://blindskateboards.com/
creature,https://creatureskateboards.com/
deathwish,https://www.deathwishskateboards.com/
huf,https://www.hufworldwide.com/
917,https://callme917.com/
april 🇺🇸/🇳🇿,https://aprilskateboards.com/
erased project 🇺🇸/🇯🇵,https://erasedproject.com/
passport 🇳🇿,https://www.passportal.com/
palace 🇬🇧,https://www.palaceskateboards.com/
yardsale 🇬🇧,https://yardsale-xxx.com/
magenta 🇫🇷,http://magentaskateboards.com/
skatemafia 🇩🇪,https://www.sk8mafia4life.com/
polar 🇸🇪,https://polarskateco.com/
VIETNAM,
TraDaSkatemag,https://www.instagram.com/tradaskatemag/
ĐANHZ MAGAZINE,https://www.instagram.com/danhz.skatemag/
saigonskateshop,
damnshop,https://www.instagram.com/damnshp/
secondluck,https://www.instagram.com/secondluck.shoes/
havefunwiththehomies,https://www.instagram.com/havefunwiththehomies/
paradise4saigon,https://www.instagram.com/paradise4saigon/
leninn,https://www.instagram.com/leninn.skateshop/
truotvan,https://www.instagram.com/truotvan/
skatergirlsvn,https://www.instagram.com/skatergirlsvn/
madnut,https://www.instagram.com/madnut.skateclo?igsh=MTg4emVhNHpxN2h2Mw==
RIP,
burgerbomb,
thrashybaggy,
numbers edition,
cliché,
